Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim,qtd_views,views
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,tfidf-fast
4,MLP,0.2044198895027624,0.0739086670904852,0.1645141699486121,0.068084901519335,jointAAE,70,2,tfidf-fast
5,Extra,0.2083662194159431,0.3271569166112243,0.1784900763545397,0.1509423764367206,jointAAE,70,2,tfidf-fast
6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,jointAAE,70,2,tfidf-fast
0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,tfidf-glove
1,SVM,0.1799526440410418,0.1636771111360037,0.1643155295595496,0.1637965323176901,jointAAE,70,2,tfidf-glove
2,RF,0.2107340173638516,0.1612653299481469,0.1803846923666981,0.1549027552646166,jointAAE,70,2,tfidf-glove
3,NB,0.1965272296764009,0.0877585152405778,0.1655067567957049,0.0863417715869149,jointAAE,70,2,tfidf-glove
4,MLP,0.2052091554853986,0.0617832134541646,0.1641686241822636,0.0721226909822556,jointAAE,70,2,tfidf-glove
5,Extra,0.2138910812943962,0.1649844867266632,0.1822865947325285,0.1576852128707934,jointAAE,70,2,tfidf-glove
6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,jointAAE,70,2,tfidf-glove
0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,tfidf-w2v
1,SVM,0.1933701657458563,0.1731270153595913,0.1745657968190897,0.1727099363826876,jointAAE,70,2,tfidf-w2v
2,RF,0.1957379636937648,0.1676994684591479,0.1673121022251436,0.1489057330644142,jointAAE,70,2,tfidf-w2v
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,tfidf-w2v
4,MLP,0.1941594317284925,0.032826261008807,0.1646586345381526,0.0547396528704939,jointAAE,70,2,tfidf-w2v
5,Extra,0.2044198895027624,0.1629493711391305,0.1751014039153601,0.1534385635469233,jointAAE,70,2,tfidf-w2v
6,KNN,0.1633780584056827,0.1586099310419471,0.1504548273353466,0.1508239903475986,jointAAE,70,2,tfidf-w2v
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,w2v-bert
1,SVM,0.1925808997632202,0.1687661185459976,0.1716638862379873,0.1685727102547311,jointAAE,70,2,w2v-bert
2,RF,0.2209944751381215,0.1877249749485658,0.1869576981107244,0.1556739675845377,jointAAE,70,2,w2v-bert
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,w2v-bert
4,MLP,0.2091554853985793,0.0348592475664298,0.1666666666666666,0.0576588337684943,jointAAE,70,2,w2v-bert
5,Extra,0.2257300710339384,0.1929778059491287,0.1914006975513905,0.1609245325893387,jointAAE,70,2,w2v-bert
6,KNN,0.1625887924230465,0.1579353722305958,0.1497632644031198,0.1501254111638241,jointAAE,70,2,w2v-bert
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,w2v-falcon
1,SVM,0.1981057616416732,0.1746389297198922,0.1734465804025612,0.1653637174023381,jointAAE,70,2,w2v-falcon
2,RF,0.2146803472770323,0.3441639998359148,0.1874625429240801,0.1760474985486389,jointAAE,70,2,w2v-falcon
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,w2v-falcon
4,MLP,0.1902131018153117,0.0628153452002436,0.168118045476536,0.0914095216810603,jointAAE,70,2,w2v-falcon
5,Extra,0.2146803472770323,0.2516372389195874,0.1870370786534933,0.1744347159072808,jointAAE,70,2,w2v-falcon
6,KNN,0.164956590370955,0.1606531153595569,0.1537484318030692,0.1531083567600218,jointAAE,70,2,w2v-falcon
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,w2v-fast
1,SVM,0.1886345698500394,0.1645746823371071,0.167345690736382,0.1636807096494461,jointAAE,70,2,w2v-fast
2,RF,0.1949486977111286,0.155116933529217,0.1653914747411336,0.140863527728369,jointAAE,70,2,w2v-fast
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,w2v-fast
4,MLP,0.1625887924230465,0.0911880841705403,0.1642320612882104,0.0534732614442759,jointAAE,70,2,w2v-fast
5,Extra,0.2186266771902131,0.2676854858104858,0.1873614557951804,0.1662311239957238,jointAAE,70,2,w2v-fast
6,KNN,0.164956590370955,0.1600250124942006,0.1518850402042387,0.15234817775821,jointAAE,70,2,w2v-fast
