,Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim
0,0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,21
1,1,SVM,0.1815311760063141,0.1634524898107459,0.1632992307132103,0.1617199686910586,DVCCA,21
2,2,RF,0.191791633780584,0.2056414008389425,0.1660489099541086,0.1514503392111614,DVCCA,21
3,3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,21
4,4,MLP,0.0765588003157063,0.1385975048588507,0.164354622966431,0.0345048706493382,DVCCA,21
5,5,Extra,0.1823204419889502,0.1711683288270542,0.1576924959532996,0.1447480177581814,DVCCA,21
6,6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,DVCCA,21
0,0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,3500
1,1,SVM,0.2052091554853986,0.068330017116692,0.163705884368917,0.0621130516899639,DVCCA,3500
2,2,RF,0.2115232833464877,0.2367910241285982,0.1802172164429361,0.1467102040596736,DVCCA,3500
3,3,NB,0.1886345698500394,0.2101147895393057,0.2061567450116456,0.165417748013748,DVCCA,3500
4,4,MLP,0.1689029202841357,0.0827944415405715,0.1923734250436465,0.095525007338159,DVCCA,3500
5,5,Extra,0.234411996842936,0.3645262084239395,0.2002733887943774,0.1640022606029033,DVCCA,3500
6,6,KNN,0.1665351223362273,0.1592593091059902,0.1560419002858643,0.1539316306618184,DVCCA,3500
0,0,LR,0.2083662194159431,0.0680941052075072,0.1660781490742845,0.0587610034984159,DVCCA,350
1,1,SVM,0.2028413575374901,0.1774213675466334,0.17579421021051,0.166898335149207,DVCCA,350
2,2,RF,0.2202052091554854,0.1782202518379379,0.1873511010922946,0.1567484952272421,DVCCA,350
3,3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,350
4,4,MLP,0.2067876874506709,0.0678741926425161,0.1675374939525883,0.0749923477196204,DVCCA,350
5,5,Extra,0.2138910812943962,0.1585679498797688,0.1814290057144548,0.147916623067595,DVCCA,350
6,6,KNN,0.1586424625098658,0.152786243616545,0.1463583322708222,0.1464075964681617,DVCCA,350
0,0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,700
1,1,SVM,0.2052091554853986,0.1747507331209171,0.1730766640849703,0.1484922097483907,DVCCA,700
2,2,RF,0.2225730071033938,0.1693996850441146,0.1882730920369202,0.154660333454301,DVCCA,700
3,3,NB,0.2099447513812154,0.1516214779372674,0.1687927262783702,0.0642625102376058,DVCCA,700
4,4,MLP,0.1625887924230465,0.0986496255642072,0.159747914123154,0.0648060568085581,DVCCA,700
5,5,Extra,0.2296764009471192,0.1882347670250896,0.1954822417763766,0.1646464357216827,DVCCA,700
6,6,KNN,0.1602209944751381,0.1534084320226922,0.1476010753767729,0.1472941001400497,DVCCA,700
0,0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,70
1,1,SVM,0.1886345698500394,0.1721362261784935,0.1688174938965678,0.1665133533049773,DVCCA,70
2,2,RF,0.197316495659037,0.1494291710674674,0.1678639722546697,0.1429226159967755,DVCCA,70
3,3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,70
4,4,MLP,0.0741910023677979,0.0544506047091617,0.1587375449284614,0.0355415876761057,DVCCA,70
5,5,Extra,0.1941594317284925,0.3148398141779397,0.1671466307680878,0.1451076659246389,DVCCA,70
6,6,KNN,0.1633780584056827,0.1579865110812017,0.1504477269752273,0.1506582343861362,DVCCA,70
0,0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,7
1,1,SVM,0.176006314127861,0.1597650716784276,0.1603242378324088,0.1597344196584695,DVCCA,7
2,2,RF,0.197316495659037,0.1799560342110692,0.1731471478006765,0.1663347424366473,DVCCA,7
3,3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,DVCCA,7
4,4,MLP,0.1941594317284925,0.0687724014336917,0.1646000269770855,0.0580974008909302,DVCCA,7
5,5,Extra,0.1846882399368587,0.1551304012311818,0.1620300269545924,0.1546659789485014,DVCCA,7
6,6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,DVCCA,7
0,0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,21
1,1,SVM,0.1767955801104972,0.1593943226385673,0.1601627213174216,0.1595479182359951,jointAAE,21
2,2,RF,0.2012628255722178,0.168304647064154,0.1739872229534864,0.1584932975120298,jointAAE,21
3,3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,21
4,4,MLP,0.1681136543014996,0.0696423858537872,0.1672955974842767,0.0491487618927603,jointAAE,21
5,5,Extra,0.2115232833464877,0.1777762853536859,0.183227145876917,0.1674364344703522,jointAAE,21
6,6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,jointAAE,21
0,0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,3500
1,1,SVM,0.2123125493291239,0.1431602661454802,0.173477859600289,0.1185099544564372,jointAAE,3500
2,2,RF,0.2470402525651144,0.2097497834245522,0.2105195943516068,0.1792203015657489,jointAAE,3500
3,3,NB,0.2162588792423046,0.1128202299230205,0.1800391786095817,0.1337126144362986,jointAAE,3500
4,4,MLP,0.1610102604577742,0.0490581579683565,0.1626935046281519,0.0541155984193958,jointAAE,3500
5,5,Extra,0.2533543804262036,0.2194728775217905,0.2158063456362048,0.1831030399901061,jointAAE,3500
6,6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,jointAAE,3500
0,0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,350
1,1,SVM,0.1933701657458563,0.1581961164411521,0.1669522679262196,0.1566917511600352,jointAAE,350
2,2,RF,0.2399368587213891,0.2006905247750168,0.2062696557256453,0.1842859345345079,jointAAE,350
3,3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,350
4,4,MLP,0.1641673243883188,0.0273612207313864,0.1666666666666666,0.0470056497175141,jointAAE,350
5,5,Extra,0.2336227308602999,0.194355855458347,0.2008922579126435,0.180327597084082,jointAAE,350
6,6,KNN,0.164956590370955,0.1579375974239036,0.1518850402042387,0.1521005949005628,jointAAE,350
0,0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,700
1,1,SVM,0.1910023677979479,0.1526601837352947,0.1631363946230513,0.1479514986700554,jointAAE,700
2,2,RF,0.2328334648776637,0.1958496991250188,0.2012946896862422,0.1822918275705055,jointAAE,700
3,3,NB,0.207576953433307,0.0565729996737965,0.1655300447071304,0.0611096492937798,jointAAE,700
4,4,MLP,0.2162588792423046,0.0721370780170122,0.1804065868107205,0.1029935238017675,jointAAE,700
5,5,Extra,0.2430939226519337,0.2011874756172202,0.2100500804878462,0.1916839560715223,jointAAE,700
6,6,KNN,0.1689029202841357,0.1606891894347233,0.1551664790781512,0.1550714610745369,jointAAE,700
0,0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70
