,Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim
6,6,KNN,0.6380233874009807,0.6393508565413633,0.6351829760262518,0.6339809203068125,DVCCA,70
0,0,LR,0.78491135420596,0.7846764135886912,0.7845926709299813,0.7846312762271869,DVCCA,7
1,1,SVM,0.5069030554507733,0.5064570839111405,0.5064600348105502,0.5064513459210096,DVCCA,7
2,2,RF,0.8463221425877028,0.8471731934539022,0.8453653377781722,0.8458232556899767,DVCCA,7
3,3,NB,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,DVCCA,7
4,4,MLP,0.4829875518672199,0.4914912082107011,0.4999897203071071,0.3259417007287314,DVCCA,7
5,5,Extra,0.845643153526971,0.8466153946033321,0.8446315933574129,0.8451136644004605,DVCCA,7
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,DVCCA,7
0,0,LR,0.516635231987929,0.425088116817724,0.499660895496642,0.3413455466985793,jointAAE,21
1,1,SVM,0.5113542059600151,0.5098569748944531,0.5097830082192413,0.5093744352585889,jointAAE,21
2,2,RF,0.7034326669181441,0.7063925376176319,0.70080941298942,0.7003796865136214,jointAAE,21
3,3,NB,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,jointAAE,21
4,4,MLP,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,jointAAE,21
5,5,Extra,0.7051678611844587,0.7075771286958104,0.7027445024954582,0.7024751238483208,jointAAE,21
6,6,KNN,0.5005658242172765,0.5000486291390998,0.5000486404980787,0.5000469937513807,jointAAE,21
0,0,LR,0.9895133911731422,0.9894845507160244,0.9895192262851248,0.989501611611978,jointAAE,3500
1,1,SVM,0.5496039230479064,0.5499851042295398,0.5435051646681439,0.5312769435193466,jointAAE,3500
2,2,RF,0.9674085250848736,0.9675870446729516,0.9671857159404942,0.9673577062642312,jointAAE,3500
3,3,NB,0.7951716333459072,0.7956607139310468,0.7958722519999017,0.795163010595356,jointAAE,3500
4,4,MLP,0.4830629950961901,0.7415119963784518,0.500072960747118,0.325847975906336,jointAAE,3500
5,5,Extra,0.969445492267069,0.9695463616168852,0.969284152273843,0.969401953688912,jointAAE,3500
6,6,KNN,0.5017729158807998,0.5013438104415695,0.5013445086131291,0.5013345518474316,jointAAE,3500
0,0,LR,0.804526593738212,0.8043842148189975,0.8041021490575527,0.8042159334608019,jointAAE,350
1,1,SVM,0.5148245944926443,0.5064578436217032,0.5036973046645234,0.4496309770393984,jointAAE,350
2,2,RF,0.8731044888721238,0.8749037450433035,0.8719088838108877,0.8725693076014089,jointAAE,350
3,3,NB,0.5646171256129763,0.5883821865880652,0.5720355747576876,0.5467459124456002,jointAAE,350
4,4,MLP,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,jointAAE,350
5,5,Extra,0.8737080347038854,0.8752705951191775,0.872590226870315,0.8732120966687973,jointAAE,350
6,6,KNN,0.5052433044134289,0.5037648065793762,0.5037395516950712,0.5033749889221558,jointAAE,350
0,0,LR,0.938513768389287,0.9383735639204815,0.938563290063348,0.9384565962058764,jointAAE,700
1,1,SVM,0.5151263674085251,0.5088914005629761,0.5067286858089592,0.4787856956796329,jointAAE,700
2,2,RF,0.9210109392682008,0.922627999718198,0.920048184180004,0.9207293558310724,jointAAE,700
3,3,NB,0.5616748396831385,0.5632144912941746,0.5559447213275547,0.5457342657573654,jointAAE,700
4,4,MLP,0.4829875518672199,0.2414937759336099,0.5,0.3256855064353665,jointAAE,700
5,5,Extra,0.9231987929083364,0.9243700099014784,0.9223901990900716,0.922964496183915,jointAAE,700
6,6,KNN,0.5050924179554885,0.5034633773517682,0.5034342949609949,0.5029362573406433,jointAAE,700
0,0,LR,0.6004526593738212,0.5998198536779544,0.5996349204677711,0.5996621668632356,jointAAE,70
1,1,SVM,0.510976989815164,0.5061582913741601,0.5055324805701268,0.4951209804668103,jointAAE,70
2,2,RF,0.7514145605431912,0.7570703526735634,0.7485539480790263,0.7483953568084278,jointAAE,70
3,3,NB,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,jointAAE,70
4,4,MLP,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,jointAAE,70
5,5,Extra,0.7593360995850622,0.7637954047503218,0.7568059088677646,0.7568995902907962,jointAAE,70
6,6,KNN,0.5014711429649189,0.5002415558112132,0.5002405698861161,0.5000568499640407,jointAAE,70
0,0,LR,0.5175405507355715,0.5132718227769615,0.5015592539049043,0.3677347788643239,jointAAE,7
1,1,SVM,0.5065258393059223,0.5058662123788327,0.5058639379848693,0.5058615431657759,jointAAE,7
2,2,RF,0.7086382497170879,0.7098614705039384,0.7067174784364638,0.7067379361836099,jointAAE,7
3,3,NB,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,jointAAE,7
4,4,MLP,0.4832138815541305,0.5415407854984894,0.5001880431626754,0.3269391798694595,jointAAE,7
5,5,Extra,0.715880799698227,0.7166707007977207,0.7142356948044426,0.7143731789822712,jointAAE,7
6,6,KNN,0.5004903809883063,0.4997956811797224,0.4997957851253345,0.4997899646158731,jointAAE,7
0,0,LR,0.8824594492644285,0.8824717247247209,0.8821330412897654,0.8822747655048415,me_mVAE,21
1,1,SVM,0.5199547340626178,0.5190004998063062,0.5189537479008115,0.5188884928631137,me_mVAE,21
2,2,RF,0.959260656356092,0.9595002162109124,0.9589770050791712,0.9591921732165194,me_mVAE,21
3,3,NB,0.7169370049038098,0.7277324219432888,0.7203147541674126,0.7153458761475624,me_mVAE,21
4,4,MLP,0.529837797057714,0.6890118773210399,0.513456995531593,0.3740290857933969,me_mVAE,21
5,5,Extra,0.9662768766503206,0.9664201436095974,0.966075885194384,0.9662260901702744,me_mVAE,21
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,me_mVAE,21
0,0,LR,0.9936627687665032,0.993650459394859,0.9936605635377788,0.9936554887663482,me_mVAE,3500
1,1,SVM,0.5714824594492645,0.6455934253112761,0.5583777491283572,0.4878255679535832,me_mVAE,3500
2,2,RF,0.9794039984911356,0.9793731516778064,0.9793878367665,0.9793804438834236,me_mVAE,3500
3,3,NB,0.930516786118446,0.9303545348247082,0.9307420734792448,0.930473167777204,me_mVAE,3500
4,4,MLP,0.9665786495662014,0.966432066801472,0.9668817128275022,0.9665594023109038,me_mVAE,3500
5,5,Extra,0.9809883062995096,0.981007072675948,0.9809251523024256,0.9809646778879249,me_mVAE,3500
6,6,KNN,0.5192757450018861,0.5184572647475396,0.5184307371843571,0.5184069094710457,me_mVAE,3500
0,0,LR,0.9838551490003772,0.9838008051346374,0.9838775553185376,0.9838377421145056,me_mVAE,350
1,1,SVM,0.5221425877027537,0.7459533321533625,0.5053211200552797,0.3527469985598366,me_mVAE,350
2,2,RF,0.9812900792153904,0.981303832209056,0.9812324148302372,0.9812670248485856,me_mVAE,350
3,3,NB,0.9203319502074688,0.9203711831462787,0.9208563936931828,0.9203117572608844,me_mVAE,350
4,4,MLP,0.9552621652206714,0.9551043480356272,0.9554441755009344,0.9552291403617768,me_mVAE,350
5,5,Extra,0.9827989437947944,0.9828923802391364,0.9826762102332588,0.9827753088297634,me_mVAE,350
6,6,KNN,0.6062617880045266,0.6056247244098085,0.6053762543105761,0.605404019406399,me_mVAE,350
0,0,LR,0.9888344021124104,0.9888989599378416,0.98874950293924,0.9888198018364672,me_mVAE,700
1,1,SVM,0.5176159939645417,0.7586623386427116,0.5006248047485161,0.3421933235538376,me_mVAE,700
2,2,RF,0.9821199547340628,0.9821429752000173,0.9820555424343216,0.9820976373857528,me_mVAE,700
3,3,NB,0.9490758204451152,0.9489662821607974,0.9494562543908078,0.9490530865172928,me_mVAE,700
4,4,MLP,0.9590343266691814,0.9588782412716692,0.959282387175356,0.9590079865132516,me_mVAE,700
5,5,Extra,0.9838551490003772,0.9838832864799169,0.9837901779289476,0.98383491115296,me_mVAE,700
6,6,KNN,0.6073179932101094,0.6067671901461044,0.6054982316420983,0.6051508143380022,me_mVAE,700
0,0,LR,0.9459072048283668,0.9458200580693096,0.9458779183672036,0.9458480755400096,me_mVAE,70
1,1,SVM,0.5589588834402113,0.5735380673163222,0.5492216768134757,0.5137667446694056,me_mVAE,70
2,2,RF,0.9759336099585062,0.9759483368840042,0.9758620274663364,0.9759035709960132,me_mVAE,70
3,3,NB,0.7601659751037344,0.7755206895324623,0.7558866285264988,0.7545326915338482,me_mVAE,70
4,4,MLP,0.5530743115805357,0.7301798029653002,0.5375530971210342,0.4232363815169616,me_mVAE,70
5,5,Extra,0.9774424745379102,0.977391933487194,0.9774445987234126,0.9774175907688498,me_mVAE,70
6,6,KNN,0.5059222934741607,0.5053270133014455,0.505326510625943,0.5053265287020697,me_mVAE,70
0,0,LR,0.7342135043379857,0.7344111134829538,0.7330753631865644,0.7333041382927712,me_mVAE,7
1,1,SVM,0.5066012825348924,0.5062055382949484,0.5062093105936497,0.5061932944590604,me_mVAE,7
2,2,RF,0.8455677102980007,0.8482779032705758,0.8439932495011842,0.8446943356112674,me_mVAE,7
3,3,NB,0.5172387778196906,0.7585647449441594,0.5002343017806935,0.3413288665419894,me_mVAE,7
4,4,MLP,0.5170124481327801,0.5085075077340979,0.5000051398464465,0.3409499453023895,me_mVAE,7
5,5,Extra,0.8463221425877028,0.8492415504642461,0.8446971577401323,0.8454175005375519,me_mVAE,7
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,me_mVAE,7
0,0,LR,0.8233119577517918,0.8231660339968602,0.8235029382370979,0.8232232056414028,MoPoEVAE,21
1,1,SVM,0.5107506601282535,0.509990112941889,0.509980578902159,0.5099671990496775,MoPoEVAE,21
2,2,RF,0.8740098076197661,0.8738169855894262,0.8740796540808125,0.8739131485827185,MoPoEVAE,21
3,3,NB,0.6470765748774048,0.6666576240680698,0.6522802364630235,0.640938869246181,MoPoEVAE,21
4,4,MLP,0.5474915126367409,0.661310803891449,0.5323133370741386,0.4232006769571081,MoPoEVAE,21
5,5,Extra,0.8760467748019615,0.8758980057058681,0.8762808873430905,0.8759815407981779,MoPoEVAE,21
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,MoPoEVAE,21
0,0,LR,0.9566201433421352,0.9565055651374728,0.956664951713023,0.9565777836099776,MoPoEVAE,350
1,1,SVM,0.5196529611467371,0.578152665217579,0.502969953711295,0.3530798277355677,MoPoEVAE,350
2,2,RF,0.9453791022255752,0.9452290910173984,0.9456601643848256,0.9453478438531824,MoPoEVAE,350
3,3,NB,0.8634477555639382,0.8665869554162449,0.8650987126314359,0.8633979888836947,MoPoEVAE,350
4,4,MLP,0.9367031308940024,0.9369098408822506,0.936380485031012,0.9365947564636224,MoPoEVAE,350
5,5,Extra,0.9436439079592608,0.9434818924921836,0.9438587108863954,0.9436063654900484,MoPoEVAE,350
6,6,KNN,0.5524707657487741,0.5511745916893397,0.5488835752069854,0.5454701744041528,MoPoEVAE,350
0,0,LR,0.9274236137306676,0.9272549572629484,0.9276016273004574,0.927373265071444,MoPoEVAE,70
1,1,SVM,0.5526216522067144,0.5547707536036128,0.5457502746683796,0.5297539060108825,MoPoEVAE,70
2,2,RF,0.9370049038098832,0.936902106194208,0.9369755789598256,0.9369372966676268,MoPoEVAE,70
3,3,NB,0.8494907582044512,0.8507319473478683,0.8483885703855587,0.8489238031416005,MoPoEVAE,70
4,4,MLP,0.7268955111278763,0.7909783722294056,0.7346690916712926,0.7151006201023985,MoPoEVAE,70
5,5,Extra,0.9391173142210488,0.9389737013657616,0.9391778151189712,0.939061819713758,MoPoEVAE,70
6,6,KNN,0.5047906450396077,0.5043077302084955,0.5043091971158692,0.5043047398970391,MoPoEVAE,70
0,0,LR,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,MoPoEVAE,7
1,1,SVM,0.5069030554507733,0.5064973904693748,0.506501153582122,0.5064867032608968,MoPoEVAE,7
2,2,RF,0.6218030931723878,0.62147391557908,0.6199538617296059,0.6196381951918779,MoPoEVAE,7
3,3,NB,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,MoPoEVAE,7
4,4,MLP,0.4829875518672199,0.4914912082107011,0.4999897203071071,0.3259417007287314,MoPoEVAE,7
5,5,Extra,0.6230856280648812,0.6226001451972418,0.6215488438354186,0.6214207782578587,MoPoEVAE,7
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,MoPoEVAE,7
0,0,LR,0.7285552621652207,0.7285354098922163,0.7275724680740319,0.7277719902671795,mVAE,21
1,1,SVM,0.5066767257638627,0.5062835470688922,0.5062874111872142,0.5062709403626446,mVAE,21
2,2,RF,0.8028668427008676,0.8045875843899469,0.8013765260956272,0.8018661493331234,mVAE,21
3,3,NB,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,mVAE,21
4,4,MLP,0.4830629950961901,0.5415094339622641,0.5000626810542251,0.3261040441387937,mVAE,21
5,5,Extra,0.8098830629950962,0.8107715286174597,0.808752957918949,0.8091792490016967,mVAE,21
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,mVAE,21
0,0,LR,0.990569596378725,0.9906655136205004,0.9904635790480804,0.9905567966867028,mVAE,3500
1,1,SVM,0.5184458694832139,0.7588773043215473,0.5014839112777257,0.3440910034135668,mVAE,3500
2,2,RF,0.9620520558279896,0.9619007078260658,0.9622162365994176,0.9620224640699484,mVAE,3500
3,3,NB,0.9001131648434553,0.901176591824532,0.9011641376114908,0.9001131597267392,mVAE,3500
4,4,MLP,0.9571482459449264,0.9573358013905684,0.956892985388294,0.9570793655368792,mVAE,3500
5,5,Extra,0.960015088645794,0.9598736028701658,0.960133219805408,0.9599809749344635,mVAE,3500
6,6,KNN,0.602640513013957,0.6050017724457666,0.5984766999477992,0.5943762102674846,mVAE,3500
0,0,LR,0.9795548849490758,0.9795242083910266,0.9795388981071826,0.9795315029025924,mVAE,350
1,1,SVM,0.5284798189362505,0.653398806383881,0.5121694013157004,0.3739741772259032,mVAE,350
2,2,RF,0.9751791776688042,0.9752635605342188,0.975045042605566,0.975144933575672,mVAE,350
3,3,NB,0.9032817804602036,0.9033097457346778,0.9037761825031604,0.903256327398764,mVAE,350
4,4,MLP,0.9488494907582044,0.9487783134744489,0.9488056250479512,0.9487917742183628,mVAE,350
5,5,Extra,0.9741984156921916,0.9744637759178624,0.9739372176531912,0.9741553624847796,mVAE,350
6,6,KNN,0.5497548095058469,0.5482947103656357,0.5463340860074324,0.5432735265590567,mVAE,350
0,0,LR,0.9858166729536024,0.9857815525184924,0.985820793361625,0.985800812650682,mVAE,700
1,1,SVM,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,mVAE,700
2,2,RF,0.9778951339117314,0.9778914797831332,0.9778463842809956,0.977868479601421,mVAE,700
3,3,NB,0.8684270086759713,0.8729540146199504,0.8703818479678551,0.8683249625037446,mVAE,700
4,4,MLP,0.9701244813278008,0.9704325425353464,0.9698277223760832,0.970072390311614,mVAE,700
5,5,Extra,0.975028291210864,0.9751188803234468,0.9748888414184372,0.9749935578875536,mVAE,700
6,6,KNN,0.5965296114673708,0.5961848702855898,0.5940265958220319,0.5929500443916225,mVAE,700
0,0,LR,0.9384383251603168,0.9383831046605464,0.938346413615729,0.9383644161441548,mVAE,70
1,1,SVM,0.5481705016974726,0.5470547282523905,0.5467601918140549,0.5465351532729865,mVAE,70
2,2,RF,0.9580535646925687,0.958205943110886,0.9578250526646218,0.9579886590391404,mVAE,70
3,3,NB,0.8368162957374575,0.8438280662935144,0.8343167990741256,0.8351058340010878,mVAE,70
4,4,MLP,0.5253866465484722,0.7363088118392607,0.5087000049643394,0.3605379896991709,mVAE,70
5,5,Extra,0.9588834402112412,0.9590484163511364,0.958648180268706,0.9588190827170896,mVAE,70
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,mVAE,70
0,0,LR,0.5284043757072803,0.546549727203322,0.5142448963832029,0.4191812246789944,mVAE,7
1,1,SVM,0.5066767257638627,0.5062835470688922,0.5062874111872142,0.5062709403626446,mVAE,7
2,2,RF,0.6004526593738212,0.5997286929941796,0.5990489779728747,0.5989289365303069,mVAE,7
3,3,NB,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,mVAE,7
4,4,MLP,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,mVAE,7
5,5,Extra,0.5952470765748774,0.5944867075816502,0.5939530082643716,0.5938694204498813,mVAE,7
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,mVAE,7
0,0,LR,0.6870614862316107,0.6868913748267289,0.6859226626109517,0.686048290525943,mvtCAE,21
1,1,SVM,0.5066767257638627,0.5062835470688922,0.5062874111872142,0.5062709403626446,mvtCAE,21
2,2,RF,0.7857412297246322,0.7869013953722395,0.7843724097054341,0.7847774549876021,mvtCAE,21
3,3,NB,0.5271218408147869,0.717960214345051,0.5105374373878949,0.3654229918647502,mvtCAE,21
4,4,MLP,0.5116559788758959,0.5150458962029716,0.5146133356199382,0.5092920233144527,mvtCAE,21
5,5,Extra,0.7931346661637118,0.7935447961636912,0.7921753234217036,0.7925035840238651,mvtCAE,21
6,6,KNN,0.5006412674462467,0.4999210971831819,0.4999211472337848,0.4999125023457584,mvtCAE,21
0,0,LR,0.9828743870237646,0.982915429491092,0.9827954295983948,0.9828524590214384,mvtCAE,350
1,1,SVM,0.5185967559411543,0.7589164273840109,0.5016401124648547,0.3444354284458123,mvtCAE,350
2,2,RF,0.9797812146359864,0.9801315058630756,0.9794853684868744,0.9797454483734668,mvtCAE,350
3,3,NB,0.9057714070162204,0.9062966593531634,0.90517647725455,0.9055512173930036,mvtCAE,350
4,4,MLP,0.9580535646925687,0.957937741016574,0.9584315545453042,0.958034163602177,mvtCAE,350
5,5,Extra,0.9797057714070162,0.9799967546214012,0.9794432468184352,0.9796715306771064,mvtCAE,350
6,6,KNN,0.5535269709543569,0.5528152636563852,0.5527473607515307,0.5527484996569002,mvtCAE,350
0,0,LR,0.9857412297246322,0.985774750560688,0.9856758747642566,0.9857232797143168,mvtCAE,700
