Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim,qtd_views,views
0,LR,0.5659037095501184,0.6008251302837291,0.5035279934758714,0.3728174388882889,jointAAE,70,2,bert-falcon
1,SVM,0.5240726124704025,0.5009863974923072,0.5008687019111442,0.4933495585051179,jointAAE,70,2,bert-falcon
2,RF,0.5698500394632992,0.5494954273099968,0.5278250540722618,0.4889892715979672,jointAAE,70,2,bert-falcon
3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70,2,bert-falcon
4,MLP,0.43646408839779,0.218232044198895,0.5,0.3038461538461539,jointAAE,70,2,bert-falcon
5,Extra,0.5769534333070244,0.5646437520538942,0.5318849058610786,0.4851561410212089,jointAAE,70,2,bert-falcon
6,KNN,0.4972375690607735,0.4807099745870394,0.4815445165407935,0.4794828616998154,jointAAE,70,2,bert-falcon
0,LR,0.5706393054459353,0.5636125163949784,0.5154770769067121,0.4278200232442304,jointAAE,70,2,cv-bert
1,SVM,0.5295974743488555,0.5099434035909446,0.5090327270148566,0.504155175583747,jointAAE,70,2,cv-bert
2,RF,0.5698500394632992,0.5527189420544337,0.5194660142538028,0.4527943335924678,jointAAE,70,2,cv-bert
3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70,2,cv-bert
4,MLP,0.5564325177584846,0.5018791946308725,0.5004254866503564,0.4051185996618122,jointAAE,70,2,cv-bert
5,Extra,0.5651144435674822,0.5406827543076491,0.5095557210225863,0.4186200285977682,jointAAE,70,2,cv-bert
6,KNN,0.4980268350434096,0.4823921971252567,0.483060312732688,0.4813793636082792,jointAAE,70,2,cv-bert
0,LR,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70,2,cv-falcon
1,SVM,0.5335438042620363,0.5072920699891218,0.5060099989362834,0.4935609342377311,jointAAE,70,2,cv-falcon
2,RF,0.5272296764009471,0.4935436870492778,0.495106903520902,0.4748918728365053,jointAAE,70,2,cv-falcon
3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70,2,cv-falcon
4,MLP,0.56353591160221,0.281767955801105,0.5,0.3604240282685512,jointAAE,70,2,cv-falcon
5,Extra,0.5374901341752171,0.5092635628889406,0.5072687302769209,0.4909762786233373,jointAAE,70,2,cv-falcon
6,KNN,0.5043409629044988,0.488372400586141,0.488866432649009,0.4869916183107673,jointAAE,70,2,cv-falcon
0,LR,0.5651144435674822,0.5520671914708981,0.5042548665035634,0.3832589039220103,jointAAE,70,2,cv-fast
1,SVM,0.5438042620363063,0.5271537837778606,0.5251037123710244,0.5219329855181454,jointAAE,70,2,cv-fast
2,RF,0.5619573796369376,0.5366216325868225,0.5228610431514378,0.490671897193493,jointAAE,70,2,cv-fast
3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70,2,cv-fast
4,MLP,0.4443567482241515,0.4871341687127818,0.4953816969825905,0.3724050974917818,jointAAE,70,2,cv-fast
5,Extra,0.5611681136543015,0.5333230657220465,0.5180831826401446,0.4751199594671118,jointAAE,70,2,cv-fast
6,KNN,0.4972375690607735,0.4814380107807338,0.4821561536006807,0.4804117671674269,jointAAE,70,2,cv-fast
0,LR,0.5753749013417522,0.5755500207555002,0.5221253058185299,0.4444902629365705,jointAAE,70,2,cv-glove
1,SVM,0.5280189423835833,0.5121600642398287,0.5115058681700528,0.5093726526277618,jointAAE,70,2,cv-glove
2,RF,0.5422257300710339,0.5077011346249981,0.505150161330355,0.4758069118217718,jointAAE,70,2,cv-glove
3,NB,0.5485398579321231,0.4824140376366403,0.494849838669645,0.4093836996277293,jointAAE,70,2,cv-glove
4,MLP,0.5595895816890292,0.4576705882352941,0.4977218735595504,0.3684692893128952,jointAAE,70,2,cv-glove
5,Extra,0.5390686661404893,0.494847024493766,0.4970481863631528,0.4544462533031332,jointAAE,70,2,cv-glove
6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,jointAAE,70,2,cv-glove
0,LR,0.5619573796369376,0.4690726767275615,0.4992110768357976,0.3646988353466992,jointAAE,70,2,cv-w2v
1,SVM,0.5414364640883977,0.5237869341284901,0.5217795979151154,0.517890953435384,jointAAE,70,2,cv-w2v
2,RF,0.5390686661404893,0.4896285447361762,0.4946016381236038,0.4443983901003184,jointAAE,70,2,cv-w2v
3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70,2,cv-w2v
4,MLP,0.56353591160221,0.281767955801105,0.5,0.3604240282685512,jointAAE,70,2,cv-w2v
5,Extra,0.5572217837411207,0.5199154929577464,0.5080576534411233,0.4438743295738612,jointAAE,70,2,cv-w2v
6,KNN,0.4972375690607735,0.4814380107807338,0.4821561536006807,0.4804117671674269,jointAAE,70,2,cv-w2v
0,LR,0.5627466456195738,0.5336624317567222,0.5133673722653619,0.4493309609434329,jointAAE,70,2,fast-bert
1,SVM,0.5303867403314917,0.514798145117294,0.5140144665461122,0.5119897874962859,jointAAE,70,2,fast-bert
2,RF,0.574585635359116,0.5586028668348594,0.5314150976846435,0.489995392197205,jointAAE,70,2,fast-bert
3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70,2,fast-bert
4,MLP,0.4372533543804262,0.4697762863534676,0.4931567563734355,0.3438642364023954,jointAAE,70,2,fast-bert
5,Extra,0.5840568271507498,0.5816180252344527,0.5377796688295572,0.4883397127170044,jointAAE,70,2,fast-bert
6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,jointAAE,70,2,fast-bert
0,LR,0.5619573796369376,0.4816229116945107,0.49941495585576,0.3663133193292078,jointAAE,70,2,fast-falcon
1,SVM,0.5280189423835833,0.5015682712685438,0.501311917171932,0.4897459727385378,jointAAE,70,2,fast-falcon
2,RF,0.5659037095501184,0.5450063678567028,0.533294330390384,0.5148527396878795,jointAAE,70,2,fast-falcon
3,NB,0.56353591160221,0.5318685669041964,0.5004077580399249,0.3637322930032901,jointAAE,70,2,fast-falcon
4,MLP,0.43646408839779,0.218232044198895,0.5,0.3038461538461539,jointAAE,70,2,fast-falcon
5,Extra,0.5619573796369376,0.539632521724873,0.5293851717902351,0.510721971849214,jointAAE,70,2,fast-falcon
6,KNN,0.5011838989739542,0.4854931842750547,0.4860653122008297,0.4843384542466488,jointAAE,70,2,fast-falcon
0,LR,0.5651144435674822,0.5400879403721379,0.5189341559408573,0.4668229270487027,jointAAE,70,2,glove-bert
1,SVM,0.5209155485398579,0.5054566074217297,0.5052033471616495,0.5033923203833028,jointAAE,70,2,glove-bert
