,Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim
0,0,LR,0.574585635359116,0.5630002566201899,0.5261142431656207,0.4675827281480355,DVCCA,21
1,1,SVM,0.5240726124704025,0.5078201604217903,0.5073928305499414,0.5051117869392434,DVCCA,21
2,2,RF,0.5335438042620363,0.4990042149631191,0.4992819912775237,0.4753402629615227,DVCCA,21
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,DVCCA,21
4,4,MLP,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,DVCCA,21
5,5,Extra,0.5414364640883977,0.5071638802982087,0.5048576392582349,0.4765776931155532,DVCCA,21
6,6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,DVCCA,21
0,0,LR,0.5722178374112076,0.5599701247730069,0.5570418040633975,0.5561592235820911,DVCCA,3500
1,1,SVM,0.56353591160221,0.281767955801105,0.5,0.3604240282685512,DVCCA,3500
2,2,RF,0.5722178374112076,0.554448301291832,0.5433819097259157,0.5311457098692942,DVCCA,3500
3,3,NB,0.5524861878453039,0.5361963037790216,0.5332145516434422,0.5298516693335428,DVCCA,3500
4,4,MLP,0.5627466456195738,0.5378644807319733,0.5235613232634826,0.4912398960906423,DVCCA,3500
5,5,Extra,0.584846093133386,0.571032414444764,0.5525476013190086,0.5360228019560447,DVCCA,3500
6,6,KNN,0.5027624309392266,0.4862258843510336,0.4868542353650321,0.4847332679198512,DVCCA,3500
0,0,LR,0.5730071033938438,0.5582924366919992,0.552645108676382,0.5490554431670531,DVCCA,350
1,1,SVM,0.5398579321231255,0.5117972656682944,0.5091656915930929,0.4922402207947097,DVCCA,350
2,2,RF,0.5580110497237569,0.5309215892336168,0.5199712796511009,0.4898915825496793,DVCCA,350
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,DVCCA,350
4,4,MLP,0.56353591160221,0.281767955801105,0.5,0.3604240282685512,DVCCA,350
5,5,Extra,0.5588003157063931,0.5308456668483502,0.5186327695635217,0.4834165187854704,DVCCA,350
6,6,KNN,0.4917127071823204,0.4754713001291956,0.4764386767365174,0.4745474122386737,DVCCA,350
0,0,LR,0.569060773480663,0.5557928341853793,0.5524057724355564,0.5508679031646524,DVCCA,700
1,1,SVM,0.5422257300710339,0.5000935403693508,0.5000531858312945,0.4573827723497513,DVCCA,700
2,2,RF,0.55327545382794,0.5291329957495934,0.5224976066375917,0.5062530638773679,DVCCA,700
3,3,NB,0.5548539857932123,0.4967555299833781,0.4992288054462291,0.4055324841273011,DVCCA,700
4,4,MLP,0.43646408839779,0.4675141242937853,0.4971456937205262,0.3196491745283019,DVCCA,700
5,5,Extra,0.5777426992896606,0.5612892114565646,0.544614048150906,0.5261697301415874,DVCCA,700
6,6,KNN,0.4917127071823204,0.4744579783987475,0.4756231606566677,0.4732828960958479,DVCCA,700
0,0,LR,0.5722178374112076,0.5532744323025653,0.5348189908874943,0.5075935316590755,DVCCA,70
1,1,SVM,0.5209155485398579,0.5001172313309106,0.5001063716625891,0.4948129366208053,DVCCA,70
2,2,RF,0.5469613259668509,0.5229137952637515,0.5185263979009326,0.50546851625187,DVCCA,70
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,DVCCA,70
4,4,MLP,0.4388318863456985,0.4860740858632077,0.4982271389568485,0.3293077069117631,DVCCA,70
5,5,Extra,0.5390686661404893,0.5099880295755459,0.5076498954011984,0.4894456772541097,DVCCA,70
6,6,KNN,0.4980268350434096,0.4819117864537119,0.4826525546927631,0.480767148991448,DVCCA,70
0,0,LR,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,DVCCA,7
1,1,SVM,0.5193370165745856,0.505820886155391,0.5056376981172216,0.504673041184004,DVCCA,7
2,2,RF,0.5382794001578532,0.5153058802587076,0.5130659858880261,0.5037968632948459,DVCCA,7
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,DVCCA,7
4,4,MLP,0.4483030781373323,0.4865364440225808,0.4931744849838669,0.3974732373381229,DVCCA,7
5,5,Extra,0.5256511444356748,0.4965212649945474,0.4971722866361734,0.4829775806919234,DVCCA,7
6,6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,DVCCA,7
0,0,LR,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,21
1,1,SVM,0.5146014206787688,0.5010601574046512,0.5010282594050278,0.5000715370456034,jointAAE,21
2,2,RF,0.5627466456195738,0.5371931000120269,0.5219302911037833,0.4854758218688059,jointAAE,21
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,21
4,4,MLP,0.4427782162588792,0.4728653486978891,0.4843988228202673,0.4003552945593007,jointAAE,21
5,5,Extra,0.5643251775848461,0.5384651963944163,0.518437754848775,0.4671798434871644,jointAAE,21
6,6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,jointAAE,21
0,0,LR,0.606156274664562,0.5958332606508858,0.5834840265220012,0.5793215600087565,jointAAE,3500
1,1,SVM,0.5611681136543015,0.5164196023718173,0.5023844981030386,0.3929231299551878,jointAAE,3500
2,2,RF,0.5816890292028414,0.5676798509384515,0.5452611424316562,0.5209959711474812,jointAAE,3500
3,3,NB,0.5737963693764798,0.618756786102063,0.5144044959756054,0.4048869930692794,jointAAE,3500
4,4,MLP,0.56353591160221,0.281767955801105,0.5,0.3604240282685512,jointAAE,3500
5,5,Extra,0.585635359116022,0.5775820752456267,0.5442772045527071,0.5092006206794271,jointAAE,3500
6,6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,jointAAE,3500
0,0,LR,0.5777426992896606,0.562551195174622,0.538293798532071,0.5069820181847406,jointAAE,350
1,1,SVM,0.5398579321231255,0.5132701948093153,0.5105928447328298,0.4959366403873856,jointAAE,350
2,2,RF,0.5777426992896606,0.5630932367774473,0.5370705244122965,0.502763667039557,jointAAE,350
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,350
4,4,MLP,0.56353591160221,0.281767955801105,0.5,0.3604240282685512,jointAAE,350
5,5,Extra,0.5785319652722968,0.5670677361853833,0.5343048611849803,0.4903597577510621,jointAAE,350
6,6,KNN,0.494869771112865,0.4788119281778152,0.4796475552246215,0.4778110929079987,jointAAE,350
0,0,LR,0.580110497237569,0.5646326677926428,0.5467148884870404,0.5279962578288685,jointAAE,700
1,1,SVM,0.5422257300710339,0.5106645097063216,0.5075967095699039,0.4835694608421881,jointAAE,700
2,2,RF,0.590370955011839,0.5846866011505273,0.5501099173846754,0.5183282314756419,jointAAE,700
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,700
4,4,MLP,0.56353591160221,0.281767955801105,0.5,0.3604240282685512,jointAAE,700
5,5,Extra,0.5753749013417522,0.5599325137912687,0.5325231358366131,0.492112478764939,jointAAE,700
6,6,KNN,0.4980268350434096,0.4819117864537119,0.4826525546927631,0.480767148991448,jointAAE,700
0,0,LR,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70
1,1,SVM,0.5280189423835833,0.5131239550991162,0.5125252632698649,0.510905546374716,jointAAE,70
2,2,RF,0.5564325177584846,0.5225598526703499,0.5112310747083644,0.4610551014229488,jointAAE,70
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,70
4,4,MLP,0.43646408839779,0.218232044198895,0.5,0.3038461538461539,jointAAE,70
5,5,Extra,0.5509076558800315,0.5000243451163697,0.5000088643052157,0.4276322005168533,jointAAE,70
6,6,KNN,0.4972375690607735,0.4814380107807338,0.4821561536006807,0.4804117671674269,jointAAE,70
0,0,LR,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,7
1,1,SVM,0.5114443567482242,0.5019097301900551,0.501896961316172,0.5018315925740306,jointAAE,7
2,2,RF,0.5438042620363063,0.5156713618796926,0.5118515760734673,0.4930203643090146,jointAAE,7
3,3,NB,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,7
4,4,MLP,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,jointAAE,7
5,5,Extra,0.5461720599842147,0.5131222101858467,0.508651561890579,0.478639255792917,jointAAE,7
6,6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,jointAAE,7
0,0,LR,0.5753749013417522,0.5742084542755146,0.5225330638584548,0.4467015377022779,me_mVAE,21
1,1,SVM,0.5122336227308603,0.501392632524708,0.5013739673084424,0.501132795775653,me_mVAE,21
2,2,RF,0.56353591160221,0.5417098445595855,0.5307857320143248,0.5119268291833415,me_mVAE,21
3,3,NB,0.5611681136543015,0.28125,0.4978991596638655,0.3594539939332659,me_mVAE,21
4,4,MLP,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,me_mVAE,21
5,5,Extra,0.5611681136543015,0.537191408671553,0.5258305853987164,0.5019147010577522,me_mVAE,21
6,6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,me_mVAE,21
0,0,LR,0.5943172849250198,0.5821557575517009,0.5733875828812538,0.5700513901212659,me_mVAE,3500
1,1,SVM,0.5619573796369376,0.5221920289855072,0.5032886572350459,0.3947103163980019,me_mVAE,3500
2,2,RF,0.579321231254933,0.563484604368063,0.5502960677942063,0.5382188928511595,me_mVAE,3500
3,3,NB,0.5595895816890292,0.5409709338280767,0.5352356132326348,0.5277466053192683,me_mVAE,3500
4,4,MLP,0.5572217837411207,0.4474389916867792,0.4960287912633407,0.3705331879782746,me_mVAE,3500
5,5,Extra,0.5785319652722968,0.5625496952027564,0.5502074247420488,0.5390052655677656,me_mVAE,3500
6,6,KNN,0.4972375690607735,0.4811965000052774,0.4819522745807183,0.4801051798228408,me_mVAE,3500
0,0,LR,0.5785319652722968,0.5641943409013894,0.5383824415842287,0.5054688185246908,me_mVAE,350
1,1,SVM,0.5548539857932123,0.4993729471484025,0.4998404425061163,0.4092595531923336,me_mVAE,350
2,2,RF,0.5580110497237569,0.5402177534233985,0.5354660851682445,0.5296731734996367,me_mVAE,350
3,3,NB,0.5619573796369376,0.5428570996759685,0.5359093004290324,0.526657390784566,me_mVAE,350
4,4,MLP,0.5556432517758485,0.5073479005998286,0.5021717547778606,0.4192582714384923,me_mVAE,350
5,5,Extra,0.5493291239147593,0.530286646857038,0.5267436088359394,0.5206319420562965,me_mVAE,350
6,6,KNN,0.5043409629044988,0.488372400586141,0.488866432649009,0.4869916183107673,me_mVAE,350
0,0,LR,0.5919494869771112,0.5792132644394111,0.5680246782257207,0.5622535316685702,me_mVAE,700
1,1,SVM,0.5611681136543015,0.509282451745985,0.5009573449633018,0.3828867973453125,me_mVAE,700
2,2,RF,0.5674822415153907,0.5483328547270349,0.5383647129737972,0.5254681647940075,me_mVAE,700
3,3,NB,0.5611681136543015,0.5464928793583238,0.5431603020955218,0.5407744458930899,me_mVAE,700
4,4,MLP,0.5706393054459353,0.5527432877003078,0.5427968655816757,0.5317812269031781,me_mVAE,700
5,5,Extra,0.5651144435674822,0.5456030008314646,0.5366716306775875,0.5245694431107832,me_mVAE,700
6,6,KNN,0.5059194948697711,0.4909565715667565,0.4912863879729107,0.4898306000524872,me_mVAE,700
0,0,LR,0.5666929755327546,0.5438165071984262,0.5248200546041201,0.4860040567951318,me_mVAE,70
1,1,SVM,0.5351223362273086,0.5147050474081645,0.5131191717193206,0.5071194814029595,me_mVAE,70
2,2,RF,0.5643251775848461,0.5435052180469029,0.5333209233060313,0.5174212565826517,me_mVAE,70
3,3,NB,0.55327545382794,0.5288414480906842,0.5220898485976669,0.5051819406264145,me_mVAE,70
4,4,MLP,0.4411996842936069,0.4817952013710368,0.4946193667340354,0.359296611622193,me_mVAE,70
5,5,Extra,0.5611681136543015,0.5395212389148345,0.530519802857852,0.5149765079784744,me_mVAE,70
6,6,KNN,0.4980268350434096,0.482152556226435,0.4828564337127256,0.4810747735773237,me_mVAE,70
0,0,LR,0.5627466456195738,0.2815955766192733,0.4992997198879552,0.3601010101010101,me_mVAE,7
1,1,SVM,0.510655090765588,0.5007954139216588,0.5007889231642024,0.5006890204214467,me_mVAE,7
2,2,RF,0.5524861878453039,0.5261807301514743,0.5191468992660355,0.498413316827639,me_mVAE,7
