Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim,qtd_views,views
0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,bert-falcon
1,SVM,0.5454545454545454,0.5418124442615078,0.5421945309795777,0.5416666666666666,jointAAE,70,2,bert-falcon
2,RF,0.4669421487603306,0.4579849498327759,0.4582554517133956,0.4580490599447945,jointAAE,70,2,bert-falcon
3,NB,0.5619834710743802,0.6136680613668062,0.5056420906888196,0.3764705882352941,jointAAE,70,2,bert-falcon
4,MLP,0.5826446280991735,0.6084525939177102,0.6007268951194185,0.579478003544208,jointAAE,70,2,bert-falcon
5,Extra,0.4669421487603306,0.4624313186813187,0.4621322256836275,0.4620832256397001,jointAAE,70,2,bert-falcon
6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,jointAAE,70,2,bert-falcon
0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,cv-bert
1,SVM,0.5578512396694215,0.5448717948717949,0.5416753201799931,0.5389491302102808,jointAAE,70,2,cv-bert
2,RF,0.5537190082644629,0.5476635514018692,0.5476635514018692,0.5476635514018692,jointAAE,70,2,cv-bert
3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,cv-bert
4,MLP,0.4380165289256198,0.3863319386331938,0.4943579093111803,0.3107145849040797,jointAAE,70,2,cv-bert
5,Extra,0.5289256198347108,0.519036519036519,0.5186569747317411,0.5182649996507649,jointAAE,70,2,cv-bert
6,KNN,0.5661157024793388,0.5665983606557377,0.5674974039460021,0.5648600051374262,jointAAE,70,2,cv-bert
0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,cv-falcon
1,SVM,0.5289256198347108,0.5172932330827067,0.5167185877466252,0.5156941226037498,jointAAE,70,2,cv-falcon
2,RF,0.4958677685950413,0.493948717948718,0.4938733125649013,0.4930631868131868,jointAAE,70,2,cv-falcon
3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,cv-falcon
4,MLP,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,jointAAE,70,2,cv-falcon
5,Extra,0.5,0.4917084726867335,0.4917618553132572,0.4916584205683731,jointAAE,70,2,cv-falcon
6,KNN,0.5743801652892562,0.5748633879781421,0.5758740048459674,0.5731483859919514,jointAAE,70,2,cv-falcon
0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,cv-fast
1,SVM,0.5826446280991735,0.5710600375234521,0.5629283489096573,0.5581307059567929,jointAAE,70,2,cv-fast
2,RF,0.4628099173553719,0.4646837606837607,0.4642436829352717,0.4618910782703886,jointAAE,70,2,cv-fast
3,NB,0.5578512396694215,0.5294117647058824,0.501938386985116,0.374586382629278,jointAAE,70,2,cv-fast
4,MLP,0.4504132231404958,0.4834558823529412,0.4919003115264797,0.3953977646285338,jointAAE,70,2,cv-fast
5,Extra,0.4545454545454545,0.4545454545454545,0.4539286950501904,0.4527138157894737,jointAAE,70,2,cv-fast
6,KNN,0.5743801652892562,0.5739071038251367,0.5749048113534094,0.572738648245599,jointAAE,70,2,cv-fast
0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,cv-glove
1,SVM,0.5826446280991735,0.5709093982420554,0.5580823814468674,0.5479981507165974,jointAAE,70,2,cv-glove
2,RF,0.5165289256198347,0.5285572562358276,0.5278989269643475,0.5158593095429441,jointAAE,70,2,cv-glove
3,NB,0.5413223140495868,0.4949685534591195,0.4977847005884389,0.4349481478365132,jointAAE,70,2,cv-glove
4,MLP,0.4462809917355372,0.4646058473653347,0.4707511249567324,0.432282913165266,jointAAE,70,2,cv-glove
5,Extra,0.512396694214876,0.5193492557978538,0.5193492557978538,0.5123966942148761,jointAAE,70,2,cv-glove
6,KNN,0.5785123966942148,0.5815816501198219,0.5824852890273451,0.578051282051282,jointAAE,70,2,cv-glove
0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,cv-w2v
1,SVM,0.5661157024793388,0.5529725609756098,0.5481135340948425,0.5442561205273069,jointAAE,70,2,cv-w2v
2,RF,0.4958677685950413,0.4958677685950413,0.4958116995500173,0.4941748903508771,jointAAE,70,2,cv-w2v
3,NB,0.5619834710743802,0.558893657606104,0.5085496711664935,0.3990817091454273,jointAAE,70,2,cv-w2v
4,MLP,0.5702479338842975,0.5577782829430931,0.5527864312911042,0.5494450411743644,jointAAE,70,2,cv-w2v
5,Extra,0.4834710743801653,0.4800575657894737,0.4798546209761163,0.4795519845844158,jointAAE,70,2,cv-w2v
6,KNN,0.5826446280991735,0.5851806239737274,0.5861889927310489,0.5820665834516013,jointAAE,70,2,cv-w2v
0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,fast-bert
1,SVM,0.5537190082644629,0.5518632478632479,0.552509518864659,0.5512362637362638,jointAAE,70,2,fast-bert
2,RF,0.5,0.4937119955776672,0.4937002422983731,0.4936975879657647,jointAAE,70,2,fast-bert
3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70,2,fast-bert
